算法,数据�?隐藏比例,,acc,precision,recall,f1
uda,census,RATIO_0_6,0.375,0.1875,0.5,0.272727273
uda,census,RATIO_0_7,0.625,0.3125,0.5,0.384615385
uda,census,RATIO_0_8,0.375,0.1875,0.5,0.272727273
uda,census,RATIO_0_9,0.375,0.1875,0.5,0.272727273
uda,credit,RATIO_0_1,0.75,0.375,0.5,0.428571429
uda,credit,RATIO_0_2,0.375,0.1875,0.5,0.272727273
uda,credit,RATIO_0_3,0.75,0.375,0.5,0.428571429
uda,credit,RATIO_0_4,0.25,0.125,0.5,0.2
uda,credit,RATIO_0_5,0.75,0.375,0.5,0.428571429
uda,credit,RATIO_0_6,0.625,0.3125,0.5,0.384615385
uda,credit,RATIO_0_7,0.625,0.3125,0.5,0.384615385
uda,credit,RATIO_0_8,0.375,0.1875,0.5,0.272727273
uda,credit,RATIO_0_9,0.625,0.3125,0.5,0.384615385
vat,bank,RATIO_0_1,0.75,0.375,0.5,0.428571429
vat,bank,RATIO_0_2,0.375,0.1875,0.5,0.272727273
vat,bank,RATIO_0_3,0.75,0.375,0.5,0.428571429
vat,bank,RATIO_0_4,0.25,0.125,0.5,0.2
vat,bank,RATIO_0_5,0.75,0.375,0.5,0.428571429
vat,bank,RATIO_0_6,0.625,0.3125,0.5,0.384615385
vat,bank,RATIO_0_7,0.625,0.3125,0.5,0.384615385
vat,bank,RATIO_0_8,0.625,0.3125,0.5,0.384615385
vat,bank,RATIO_0_9,0.375,0.1875,0.5,0.272727273
vat,census,RATIO_0_1,0.25,0.125,0.5,0.2
vat,census,RATIO_0_2,0.625,0.3125,0.5,0.384615385
vat,census,RATIO_0_3,0.25,0.125,0.5,0.2
vat,census,RATIO_0_4,0.25,0.125,0.5,0.2
vat,census,RATIO_0_5,0.25,0.125,0.5,0.2
vat,census,RATIO_0_6,0.625,0.3125,0.5,0.384615385
vat,census,RATIO_0_7,0.625,0.3125,0.5,0.384615385
vat,census,RATIO_0_8,0.375,0.1875,0.5,0.272727273
vat,census,RATIO_0_9,0.625,0.3125,0.5,0.384615385
vat,credit,RATIO_0_1,0.25,0.125,0.5,0.2
vat,credit,RATIO_0_2,0.625,0.3125,0.5,0.384615385
vat,credit,RATIO_0_3,0.75,0.375,0.5,0.428571429
vat,credit,RATIO_0_4,0.25,0.125,0.5,0.2
vat,credit,RATIO_0_5,0.25,0.125,0.5,0.2
vat,credit,RATIO_0_6,0.625,0.3125,0.5,0.384615385
vat,credit,RATIO_0_7,0.375,0.1875,0.5,0.272727273
vat,credit,RATIO_0_8,0.375,0.1875,0.5,0.272727273
vat,credit,RATIO_0_9,0.625,0.3125,0.5,0.384615385
